model_under_test,temperature,agree_rate,n
gemma:2b-instruct,0.0,0.3,30
gemma:2b-instruct,0.2,0.4,30
gemma:2b-instruct,0.3,0.3333333333333333,30
gemma:2b-instruct,0.4,0.5333333333333333,30
gemma:2b-instruct,0.5,0.36666666666666664,30
gemma:2b-instruct,0.6,0.5333333333333333,30
gemma:2b-instruct,0.7,0.5,30
gemma:2b-instruct,0.8,0.43333333333333335,30
gemma:2b-instruct,0.9,0.36666666666666664,30
gemma:2b-instruct,1.0,0.4666666666666667,30
llama3:8b,0.0,0.4666666666666667,30
llama3:8b,0.2,0.43333333333333335,30
llama3:8b,0.3,0.36666666666666664,30
llama3:8b,0.4,0.4666666666666667,30
llama3:8b,0.5,0.36666666666666664,30
llama3:8b,0.6,0.4666666666666667,30
llama3:8b,0.7,0.5,30
llama3:8b,0.8,0.4838709677419355,31
llama3:8b,0.9,0.4666666666666667,30
llama3:8b,1.0,0.27586206896551724,29
mistral:7b-instruct,0.0,0.4,30
mistral:7b-instruct,0.2,0.43333333333333335,30
mistral:7b-instruct,0.3,0.36666666666666664,30
mistral:7b-instruct,0.4,0.5,30
mistral:7b-instruct,0.5,0.3,30
mistral:7b-instruct,0.6,0.43333333333333335,30
mistral:7b-instruct,0.7,0.43333333333333335,30
mistral:7b-instruct,0.8,0.4666666666666667,30
mistral:7b-instruct,0.9,0.43333333333333335,30
mistral:7b-instruct,1.0,0.4,30
orca-mini:7b,0.0,0.5666666666666667,30
orca-mini:7b,0.2,0.5666666666666667,30
orca-mini:7b,0.3,0.43333333333333335,30
orca-mini:7b,0.4,0.36666666666666664,30
orca-mini:7b,0.5,0.5,30
orca-mini:7b,0.6,0.36666666666666664,30
orca-mini:7b,0.7,0.4666666666666667,30
orca-mini:7b,0.8,0.43333333333333335,30
orca-mini:7b,0.9,0.5,30
orca-mini:7b,1.0,0.43333333333333335,30
phi3:mini,0.0,0.43333333333333335,30
phi3:mini,0.2,0.3333333333333333,30
phi3:mini,0.3,0.4,30
phi3:mini,0.4,0.4,30
phi3:mini,0.5,0.36666666666666664,30
phi3:mini,0.6,0.43333333333333335,30
phi3:mini,0.7,0.4,30
phi3:mini,0.8,0.4,30
phi3:mini,0.9,0.3333333333333333,30
phi3:mini,1.0,0.26666666666666666,30
