scenario_id,mean_align,std_align,n_scores,iqr_align,on_topic_rate,agree_rate,n_pairs
MC21-007-N,3.6857142857142855,0.6402266082334517,105,1.0,1.0,0.6545454545454545,55
MC21-009-F,3.723809523809524,0.44925661022571706,105,1.0,1.0,0.16363636363636364,55
MC21-003-N,3.7714285714285714,0.4441314526722323,105,0.0,1.0,0.5454545454545454,55
MC21-007-S,3.7904761904761903,0.689135998848141,105,1.0,0.9904761904761905,0.4,55
MC21-002-N,3.857142857142857,0.5953113508035979,105,1.0,1.0,0.5818181818181818,55
MC21-008-S,3.9047619047619047,0.528492222557749,105,0.0,0.9809523809523809,0.2,55
MC21-006-N,3.9238095238095236,0.43179495880207563,105,0.0,1.0,0.6727272727272727,55
MC21-001-S,3.933333333333333,0.5051021729592986,105,0.0,1.0,0.2727272727272727,55
MC21-008-N,3.942857142857143,0.731549612237499,105,1.0,1.0,0.7090909090909091,55
MC21-005-F,4.0,0.24019223070763057,105,0.0,1.0,0.8909090909090909,55
MC21-010-F,4.019047619047619,0.2766889527190717,105,0.0,1.0,0.18181818181818182,55
MC21-001-N,4.038095238095238,0.3648974967716046,105,0.0,1.0,0.4727272727272727,55
MC21-003-F,4.085714285714285,0.637215784521975,105,0.0,0.9904761904761905,0.4,55
MC21-002-F,4.125,0.4763840337089561,104,0.0,1.0,0.7962962962962963,54
MC21-007-F,4.142857142857143,0.6854051500975316,105,1.0,0.9809523809523809,0.09090909090909091,55
MC21-004-F,4.142857142857143,0.40260143080708505,105,0.0,1.0,0.03636363636363636,55
MC21-004-N,4.161904761904762,0.5211638145647891,105,0.0,1.0,0.5636363636363636,55
MC21-008-F,4.180952380952381,0.6618876325292973,105,1.0,1.0,0.14545454545454545,55
MC21-005-N,4.190476190476191,0.666437689614861,105,1.0,1.0,0.7090909090909091,55
MC21-010-N,4.276190476190476,0.4701725970984177,105,1.0,1.0,0.05454545454545454,55
MC21-002-S,4.3428571428571425,0.5156879540323452,105,1.0,1.0,0.38181818181818183,55
MC21-009-N,4.371428571428571,0.5760799700285822,105,1.0,1.0,0.7454545454545455,55
MC21-006-F,4.40952380952381,0.5833464153425824,105,1.0,1.0,0.34545454545454546,55
MC21-001-F,4.428571428571429,0.49724515809884706,105,1.0,1.0,0.8727272727272727,55
MC21-010-S,4.561904761904762,0.5357203906856048,105,1.0,1.0,0.0,55
MC21-003-S,4.571428571428571,0.552218303703395,105,1.0,1.0,0.8909090909090909,55
MC21-009-S,4.609523809523809,0.5279721382370272,105,1.0,1.0,0.05454545454545454,55
MC21-005-S,4.619047619047619,0.4879500364742662,105,1.0,1.0,0.8181818181818182,55
MC21-006-S,4.933333333333334,0.2506402059138015,105,0.0,1.0,0.07272727272727272,55
MC21-004-S,4.9714285714285715,0.1673976643265313,105,0.0,1.0,0.0,55
