model_under_test,temperature,mean_align,sem_align,n
gemma:2b-instruct,0.0,4.05,0.0602490124634824,60
gemma:2b-instruct,0.2,3.95,0.07297162980955096,60
gemma:2b-instruct,0.3,4.066666666666666,0.06666666666666665,60
gemma:2b-instruct,0.4,4.05,0.07674523117741308,60
gemma:2b-instruct,0.5,4.066666666666666,0.07077722935985042,60
gemma:2b-instruct,0.6,4.166666666666667,0.07196462826472878,60
gemma:2b-instruct,0.7,4.05,0.07297162980955096,60
gemma:2b-instruct,0.8,4.116666666666666,0.07166962285323308,60
gemma:2b-instruct,0.9,3.933333333333333,0.07835406625492855,60
gemma:2b-instruct,1.0,4.083333333333333,0.07625287497281387,60
llama3:8b,0.0,4.216666666666667,0.07916109109120169,60
llama3:8b,0.2,4.216666666666667,0.08600245255557767,60
llama3:8b,0.3,4.3,0.07990106877232903,60
llama3:8b,0.4,4.216666666666667,0.08265258673606024,60
llama3:8b,0.5,4.166666666666667,0.08290852173038601,60
llama3:8b,0.6,4.233333333333333,0.08358718398056235,60
llama3:8b,0.7,4.366666666666666,0.07503922389264528,60
llama3:8b,0.8,4.209677419354839,0.0801145952586031,62
llama3:8b,0.9,4.25,0.07747789916329083,60
llama3:8b,1.0,4.172413793103448,0.08208538423612471,58
mistral:7b-instruct,0.0,4.1,0.07775086970647335,60
mistral:7b-instruct,0.2,4.033333333333333,0.08222425813125592,60
mistral:7b-instruct,0.3,4.016666666666667,0.07322925331102074,60
mistral:7b-instruct,0.4,4.1,0.07775086970647335,60
mistral:7b-instruct,0.5,4.116666666666666,0.08600245255557767,60
mistral:7b-instruct,0.6,4.15,0.07450400967482972,60
mistral:7b-instruct,0.7,4.05,0.07674523117741308,60
mistral:7b-instruct,0.8,4.05,0.07297162980955096,60
mistral:7b-instruct,0.9,4.066666666666666,0.08526020878174409,60
mistral:7b-instruct,1.0,3.9833333333333334,0.08057584652558422,60
orca-mini:7b,0.0,4.316666666666666,0.08730641755414865,60
orca-mini:7b,0.2,4.366666666666666,0.07871376546591438,60
orca-mini:7b,0.3,4.283333333333333,0.0953485033957622,60
orca-mini:7b,0.4,4.366666666666666,0.07503922389264528,60
orca-mini:7b,0.5,4.3,0.07628374033532981,60
orca-mini:7b,0.6,4.333333333333333,0.08459496942031546,60
orca-mini:7b,0.7,4.316666666666666,0.0692643616088188,60
orca-mini:7b,0.8,4.216666666666667,0.08922664174441856,60
orca-mini:7b,0.9,4.283333333333333,0.08922664174441855,60
orca-mini:7b,1.0,4.3,0.07990106877232903,60
phi3:mini,0.0,4.35,0.07820370329491785,60
phi3:mini,0.2,4.166666666666667,0.0679259594696179,60
phi3:mini,0.3,4.266666666666667,0.07466182389460695,60
phi3:mini,0.4,4.216666666666667,0.07916109109120169,60
phi3:mini,0.5,4.216666666666667,0.08265258673606024,60
phi3:mini,0.6,4.3,0.07248611789946811,60
phi3:mini,0.7,4.2,0.08829841544156682,60
phi3:mini,0.8,4.233333333333333,0.0765302150981919,60
phi3:mini,0.9,4.133333333333334,0.06916232713907117,60
phi3:mini,1.0,4.233333333333333,0.0765302150981919,60
